"epoch","elated-water-90 - _step","elated-water-90 - _step__MIN","elated-water-90 - _step__MAX","elated-water-90 - val_loss","elated-water-90 - val_loss__MIN","elated-water-90 - val_loss__MAX"
"29","89","89","89","2835.9296875","2835.9296875","2835.9296875"
"30","92","92","92","2804.3095703125","2804.3095703125","2804.3095703125"
"31","95","95","95","2766.47021484375","2766.47021484375","2766.47021484375"
"32","98","98","98","2734.88525390625","2734.88525390625","2734.88525390625"
"33","101","101","101","2702.076416015625","2702.076416015625","2702.076416015625"
"34","104","104","104","2669.31298828125","2669.31298828125","2669.31298828125"
"35","107","107","107","2642.718017578125","2642.718017578125","2642.718017578125"
"36","110","110","110","2611.651611328125","2611.651611328125","2611.651611328125"
"37","113","113","113","2573.184814453125","2573.184814453125","2573.184814453125"
"38","116","116","116","2544.85791015625","2544.85791015625","2544.85791015625"
"39","119","119","119","2515.901123046875","2515.901123046875","2515.901123046875"
"40","122","122","122","2485.18115234375","2485.18115234375","2485.18115234375"
"41","125","125","125","2459.4638671875","2459.4638671875","2459.4638671875"
"42","128","128","128","2434.40576171875","2434.40576171875","2434.40576171875"
"43","131","131","131","2405.649658203125","2405.649658203125","2405.649658203125"
"44","134","134","134","2379.271484375","2379.271484375","2379.271484375"
"45","137","137","137","2346.505859375","2346.505859375","2346.505859375"
"46","140","140","140","2327.334228515625","2327.334228515625","2327.334228515625"
"47","143","143","143","2304.341552734375","2304.341552734375","2304.341552734375"
"48","146","146","146","2272.352294921875","2272.352294921875","2272.352294921875"
"49","149","149","149","2243.5","2243.5","2243.5"
"50","152","152","152","2221.740478515625","2221.740478515625","2221.740478515625"
"51","155","155","155","2202.0380859375","2202.0380859375","2202.0380859375"
"52","158","158","158","2181.701416015625","2181.701416015625","2181.701416015625"
"53","161","161","161","2153.69384765625","2153.69384765625","2153.69384765625"
"54","164","164","164","2129.997314453125","2129.997314453125","2129.997314453125"
"55","167","167","167","2104.696533203125","2104.696533203125","2104.696533203125"
"56","170","170","170","2085.66552734375","2085.66552734375","2085.66552734375"
"57","173","173","173","2058.570556640625","2058.570556640625","2058.570556640625"
"58","176","176","176","2040.7918701171875","2040.7918701171875","2040.7918701171875"
"59","179","179","179","2023.4676513671875","2023.4676513671875","2023.4676513671875"
"60","182","182","182","2001.370361328125","2001.370361328125","2001.370361328125"
"61","185","185","185","1981.6580810546875","1981.6580810546875","1981.6580810546875"
"62","188","188","188","1963.92919921875","1963.92919921875","1963.92919921875"
"63","191","191","191","1946.042724609375","1946.042724609375","1946.042724609375"
"64","194","194","194","1969.337890625","1969.337890625","1969.337890625"
"65","197","197","197","1899.2520751953125","1899.2520751953125","1899.2520751953125"
"66","200","200","200","1885.2381591796875","1885.2381591796875","1885.2381591796875"
"67","203","203","203","1870.3399658203125","1870.3399658203125","1870.3399658203125"
"68","206","206","206","1855.6409912109375","1855.6409912109375","1855.6409912109375"
"69","209","209","209","1833.4337158203125","1833.4337158203125","1833.4337158203125"
"70","212","212","212","1818.0220947265625","1818.0220947265625","1818.0220947265625"
"71","215","215","215","1798.13623046875","1798.13623046875","1798.13623046875"
"72","218","218","218","1789.1783447265625","1789.1783447265625","1789.1783447265625"
"73","221","221","221","1770.184814453125","1770.184814453125","1770.184814453125"
"74","224","224","224","1753.75","1753.75","1753.75"
"75","227","227","227","1736.7950439453125","1736.7950439453125","1736.7950439453125"
"76","230","230","230","1731.5059814453125","1731.5059814453125","1731.5059814453125"
"77","233","233","233","1704.4775390625","1704.4775390625","1704.4775390625"
"78","236","236","236","1703.7359619140625","1703.7359619140625","1703.7359619140625"
"79","239","239","239","1679.3311767578125","1679.3311767578125","1679.3311767578125"
"80","242","242","242","1671.8470458984375","1671.8470458984375","1671.8470458984375"
"81","245","245","245","1660.1392822265625","1660.1392822265625","1660.1392822265625"
"82","248","248","248","1644.5306396484375","1644.5306396484375","1644.5306396484375"
"83","251","251","251","1637.2269287109375","1637.2269287109375","1637.2269287109375"
"84","254","254","254","1620.3062744140625","1620.3062744140625","1620.3062744140625"
"85","257","257","257","1615.74658203125","1615.74658203125","1615.74658203125"
"86","260","260","260","1608.3388671875","1608.3388671875","1608.3388671875"
"87","263","263","263","1587.503173828125","1587.503173828125","1587.503173828125"
"88","266","266","266","1572.1090087890625","1572.1090087890625","1572.1090087890625"
"89","269","269","269","1566.422119140625","1566.422119140625","1566.422119140625"
